Asset,EAR_2014-2019,RSI_2014-2019,EAR_2020,EAR_2021,EAR_2022,EAR_2023
bonds_BND_OHLC,3.575072456779104,53.013266337816724,7.731525649085014,-1.6813615684186218,-13.169626642282866,5.301009797156441
bonds_JNK_OHLC,4.280686444089443,84.15251240104105,5.941152892002477,4.2623243239929165,-12.240606030899537,11.933304758485287
bonds_LQD_OHLC,5.36266200118993,58.23144637353347,11.623734631474637,-1.1490731170773762,-18.077207750313416,8.865736397805188
bonds_TIP_OHLC,2.6745765813509323,53.109824745462454,10.188077639935422,5.542668464479723,-12.167856766475726,3.6625387857955403
bonds_TLT_OHLC,7.981233020981533,36.36085489870064,17.874394179389995,-3.6460752381097077,-33.0022384382258,2.5287618508314647
commod_CL=F_OHLC,-0.9848032710563958,66.02110169377696,-351.7168383694757,52.16646646198589,17.076592269071973,-1.5231952403464133
commod_GC=F_OHLC,4.463230293926792,87.78213497736111,23.963006334584914,-5.158882589907095,2.320558229562199,12.386989778870147
commod_HG=F_OHLC,-1.5887716808084584,57.84110354257832,24.100198666949357,26.156129777634135,-10.986249894581675,5.026008401960418
commod_NG=F_OHLC,-0.7402203829354027,45.00665571825087,40.855089935404585,52.87495104527934,65.38833991952492,-22.85606247347397
commod_SI=F_OHLC,0.5376805253784059,88.16603639801465,48.9697807214638,-10.980484816421068,9.682535311280576,2.4747267677823706
crypto_ADA-USD_OHLC,262.9309114261762,53.844456535294896,232.1158600130829,284.54873180106944,-129.99369046830822,108.6782910951281
crypto_BCH-USD_OHLC,93.62982748129227,70.03674868090302,109.40703253194441,109.21748636730383,-116.8193970930436,128.30550142192612
crypto_DOGE-USD_OHLC,189.9675954673719,51.08696422406799,133.1003533054224,762.4747292278945,-34.03465423079373,43.36285542208868
crypto_ETH-USD_OHLC,10.52716509102436,58.72687975543903,221.26003000271638,219.38390717023805,-77.0291038233054,75.00551880954242
crypto_XRP-USD_OHLC,162.76526236279332,59.91502590806779,80.91180520551339,235.72570380863183,-55.47940748200507,94.40033813992017
indices_^BSESN_OHLC,12.40908123693717,67.88614524585284,19.19260041626224,21.3801780300267,4.338218570295037,17.67798140198841
indices_^DJI_OHLC,10.073997773550818,78.53118370810353,12.660437368517885,19.268816905598097,-7.980921179876048,13.683748946131704
indices_^FCHI_OHLC,7.099606470349781,71.7574576023105,-3.0358811259592224,25.17908334339137,-8.224618294098946,14.284697894945934
indices_^FTSE_OHLC,2.826225684392796,77.85803604655469,-11.954669623453363,12.46111627979285,0.6186469701367672,3.0232776672598014
indices_^GDAXI_OHLC,7.23397392113241,59.814809148400435,7.925709935907924,15.52575409952152,-11.105985304089142,18.15379360256612
stocks_AAPL_OHLC,26.657890186810558,95.12326505642011,68.73340040598046,35.5173436250244,-27.05222366531891,46.24017252922996
stocks_AMZN_OHLC,30.06615856533994,79.06877608634768,61.42028986083259,7.437772412307364,-58.69427147286548,63.28965882961488
stocks_GOOGL_OHLC,17.364176686429715,47.999972098311595,32.150620048624624,54.966512786811016,-42.55376994182128,50.14075035553829
stocks_MSFT_OHLC,28.96024377589334,78.10127252223216,43.2720699636655,46.73517548806049,-26.422282282918484,49.685845816447035
stocks_NVDA_OHLC,54.00761467187518,79.03059536578488,94.88144595000625,91.3483527196998,-52.8060068257917,137.13331418641147
